algorithm,trial,avg_error,max_error
spring,174,2.0906568568898636,2.198395441693912
spring,175,2.080661145381286,2.1890370922441305
spring,176,2.081531376492002,2.1766193698769754
spring,177,2.079167535919249,2.173485498538128
spring,178,2.0817635882745265,2.1780809475850407
spring,179,2.077914080838077,2.185903671668963
spring,180,2.0795371916084657,2.169340357570524
spring,181,2.1002128164294964,2.203905974829614
spring,182,2.090792761097567,2.1977331296227836
spring,183,2.0864634483355426,2.188264326861086
spring,184,2.090988101192094,2.1926117631883484
spring,185,2.0931299897575366,2.189931599191256
spring,186,2.084803128011003,2.1895721704052242
spring,187,2.086519257701292,2.1901714662827168
spring,188,2.093015396222315,2.1911804428793946
spring,189,2.0837623669189465,2.1948342155232012
spring,190,2.0863127722559156,2.1955721418962133
spring,191,2.089988140551292,2.1946181150956496
spring,192,2.0862278859788077,2.188597487499001
spring,193,2.1014866036193767,2.1907035466093814
spring,194,2.0802445251615453,2.1989710970188154
spring,195,2.080669903349415,2.1891494220410377
spring,196,2.0895304895484985,2.183930715227754
spring,197,2.077574245884951,2.1915971926251467
spring,198,2.089613748605214,2.191662056289258
spring,199,2.0954245500514244,2.1900603586802845
spring,200,2.0884937977155493,2.18659655653039
spring,201,2.082751283489725,2.182601943598314
spring,202,2.081807880149013,2.1738265785111506
spring,203,2.0880774884275515,2.1950024727357675
spring,204,2.091826141509447,2.19709510001349
spring,205,2.0912050600566445,2.179699892791734
spring,206,2.096515539883433,2.197134669320598
spring,207,2.0837264525410477,2.178900730891625
spring,208,2.0898694776732585,2.1945916436406723
spring,209,2.0896121983118388,2.1986214584159347
spring,210,2.0918576168528538,2.190911251889673
spring,211,2.1069016387902346,2.2025156399938157
spring,212,2.0829974850563504,2.178078669218028
spring,213,2.0873308010523,2.200263937525357
spring,214,2.0922900767596175,2.184554597026065
spring,215,2.0846708081215612,2.1950665428655824
spring,216,2.0830530422587845,2.201816871647866
spring,217,2.0938580227684445,2.2015770829192207
spring,218,2.0858462210493016,2.1660040594889147
spring,219,2.090110809031221,2.1866785944552367
spring,220,2.0814221382195233,2.1767943819472952
spring,221,2.0906286596696617,2.187839328602618
spring,222,2.0907335438891916,2.18824543435379
spring,223,2.09228515536539,2.1866100078005135
spring,224,2.087177367631093,2.1739107717602497
spring,225,2.094177949015149,2.1841202499129047
spring,226,2.080092112054988,2.1966038400546446
spring,227,2.078156192965693,2.1910792234456467
spring,228,2.0921808235444033,2.1912580364471084
spring,229,2.090390776709413,2.1858518060754966
spring,230,2.103639792033986,2.196041307934304
spring,231,2.0782988333035113,2.1841821250907176
spring,232,2.097242418581815,2.2067132260266202
spring,233,2.0846797709249354,2.1911833002137175
spring,234,2.0806645571194444,2.187913949282898
spring,235,2.0813694736002155,2.1884227237803557
spring,236,2.0833545253644643,2.181825552543873
spring,237,2.088052278636214,2.184965911632625
spring,238,2.0853433297822463,2.191896750002612
spring,239,2.0975104084673974,2.1838388281358023
spring,240,2.0865431804700876,2.174495241975084
spring,241,2.076953654944627,2.1795835070316665
spring,242,2.0861963987405625,2.1887147190855196
spring,243,2.080341088436006,2.176184966285273
spring,244,2.0909067803111707,2.1908554217897667
spring,245,2.091969642024705,2.190508954407211
spring,246,2.096280500171811,2.1940254829996477
spring,247,2.08955534302891,2.1881467781906863
spring,248,2.0941892418959482,2.201000308130362
spring,249,2.0830251755040856,2.1875112033448327
spring,250,2.092606137923123,2.1911087849554547
spring,251,2.088301312680088,2.192370178919724
spring,252,2.0793230086908494,2.1945123867055614
spring,253,2.0812626155873746,2.1734862587628982
spring,254,2.088987117268513,2.1976559109662643
spring,255,2.092463895208736,2.1948664473476205
spring,256,2.0797306129975732,2.1745983003610334
spring,257,2.080690932076343,2.199764362830288
spring,258,2.0887917786450987,2.2036203736162325
spring,259,2.090842450955718,2.196445788930711
spring,260,2.09251649518288,2.1841886555412042
spring,261,2.082515186196312,2.194334391424401
spring,262,2.0785056945721023,2.171072805200654
spring,263,2.0851524984247747,2.1966709329324976
spring,264,2.079058613345801,2.179787809379112
spring,265,2.0838894178721903,2.1978559553871735
spring,266,2.0743682451746386,2.183661530572417
spring,267,2.092357220117573,2.202635177517198
spring,268,2.086384291521707,2.185623982900733
spring,269,2.0797634645466347,2.1915190792794506
spring,270,2.088546295813976,2.181702240265063
spring,271,2.0844276836063087,2.1812267363924254
spring,272,2.0926562799688497,2.190141642716298
spring,273,2.076679741471533,2.175149956570759
spring,274,2.0923614948521387,2.1864430838842326
spring,275,2.086096935830136,2.1975397310480056
spring,276,2.0817680333385207,2.1893498025564533
spring,277,2.0789468194698753,2.1806041948677906
spring,278,2.095564540825883,2.2019705800995304
spring,279,2.0900438598277082,2.195698858789404
spring,280,2.0892903268153393,2.1915498355851772
spring,281,2.0826578752402995,2.199470565629869
spring,282,2.086331839373642,2.1964831250472647
spring,283,2.087823268029527,2.1969909757591974
spring,284,2.0793173203605186,2.184850940073154
spring,285,2.09665772318953,2.183815222479897
spring,286,2.0966331245980583,2.1856233320474203
spring,287,2.0925846613150627,2.1970509402456813
spring,288,2.092409948458442,2.196072928150428
spring,289,2.0783284978543075,2.18616545877451
spring,290,2.0814498994250297,2.1728088164395474
spring,291,2.0942357875237905,2.1927954655182362
spring,292,2.08911483849803,2.19987760321377
spring,293,2.0952181519233073,2.2043364611036953
spring,294,2.075571760153997,2.170763455607187
spring,295,2.0902085818759684,2.190717159689808
spring,296,2.0848778579025273,2.1878274346933577
spring,297,2.0876312401250114,2.1827047157277826
spring,298,2.079236237262393,2.1845897579196847
spring,299,2.0927034162072276,2.19906353939267
